ID,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,NUM_10NOND,NUM_10DEAT,Num_50Deat,Num_50NonD,ID_id,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_TargetID,bump_Distance
"584",way/48431947,way/48431947,,tertiary,,,"1",,,,,,"0","0","0","0","584",node/4570994739,330.503138263510834,node/1143738665,4833.972385309109086,node/5996483888,469.553256996739492,node/4744460853,3879.0835568595
"585",way/108497261,way/108497261,,unclassified,,,,,,,,,"0","0","0","0","585",node/5678275733,3855.580071684082668,node/230461929,3983.011539845172138,node/6010350323,4110.301790791764688,node/455885362,1836.29920574706
"586",way/108497261,way/108497261,,unclassified,,,,,,,,,"0","0","0","0","586",node/4570994749,3756.528382905572016,node/230461929,4168.549668764025228,node/6010350323,4581.334462817503663,node/455885362,2603.81570268928
"587",way/36186280,way/36186280,,tertiary,,,"1",,,,,,"0","0","0","0","587",node/7429024597,1509.902504244143756,node/7463852740,2468.547083940185530,node/2355865875,1710.183855967636191,node/2355870389,2229.39617045874
"588",way/133244871,way/133244871,,tertiary,,,"4",,,,,Магистральная улица,"0","0","0","0","588",node/177598706,894.102946023906838,node/3974064301,1365.337551684042637,node/2016732107,1407.406823557119196,node/6340964470,1234.87438271868
"589",way/172900779,way/172900779,,primary,asphalt,,"2",RU:urban,,,,,"0","0","0","0","589",node/3949915408,994.885465958013469,node/293139220,1873.767631280375554,node/3949915410,863.119094605025225,node/3941904154,610.92273102672
"590",way/31368585,way/31368585,,secondary,asphalt,,"4",,,,,улица Кочетова,"0","0","0","0","590",node/7044075974,244.538022751993651,node/27019229,407.538510847557404,node/1106149214,307.519242082505741,node/299484497,394.71971013338
"591",way/230346206,way/230346206,,secondary,asphalt,,"2",,,no,49Н-1170,Юрьевское шоссе,"0","0","0","0","591",node/1946998795,791.413324310519897,node/1143738665,4293.952642818272579,node/5996483888,106.117364336491107,node/4744460853,3339.97557806965
"592",way/26406042,way/26406042,,tertiary,,,"4","70",,,,Вяжищский проезд,"0","0","0","0","592",node/5678275733,2518.116166955303470,node/177601891,6559.285580035657404,node/6010350323,4134.764678955057207,node/455885362,974.936593375456
"593",way/219874164,way/219874164,,secondary,asphalt,,"2",,,yes,,Юрьевское шоссе,"0","0","0","0","593",node/1946998795,264.751005980578896,node/1143738665,3655.875041756562950,node/5996483888,725.452617321157732,node/4744460853,2701.727410441
"594",way/367701066,way/367701066,,secondary,asphalt,,,,,,,Драгунское шоссе,"0","0","0","0","594",node/4773038317,3795.766655255652040,node/7463852740,4077.975190203275361,node/2849847592,3822.419975746080581,node/1578386259,1788.96099382094
"595",way/173171791,way/173171791,,primary,asphalt,,"2",RU:urban,,,,,"0","0","0","0","595",node/3941682237,587.876278456623709,node/293139220,1610.500315811323617,node/525298735,900.963981302732350,node/3941904154,364.567690402582
"596",way/31388093,way/31388093,,secondary,asphalt,,"4",,,,,Большая Московская улица,"0","0","0","1","596",node/4609041608,80.685527575174476,node/181321086,148.461023976395069,node/525298708,54.977432443575324,node/287866254,843.762453736415
"597",way/509640360,way/509640360,,tertiary,asphalt,,"3",,,,,проспект Александра Корсунова,"0","0","0","0","597",node/6328299583,206.683002650972583,node/286903964,749.836897435082619,node/4988304188,67.744500277398828,node/4609010483,316.093218082353
"598",way/172394141,way/172394141,,primary,asphalt,,"4",RU:urban,,,,улица Державина,"0","0","0","0","598",node/5273143681,645.004670144500210,node/293139220,861.107812688396393,node/525298735,1178.700118466261983,node/3941904154,709.708681788623
"599",way/172900779,way/172900779,,primary,asphalt,,"2",RU:urban,,,,,"0","0","0","0","599",node/3941682237,1123.172820054353224,node/293139220,1715.737301414619878,node/3949915410,1074.404321566105637,node/3941904154,399.628678079123
"600",way/363101880,way/363101880,,unclassified,,,,,,,,,"1","0","0","1","600",node/6723213604,109.149076026571137,node/287861257,196.495126667960960,node/414572453,564.905214284901263,node/3940315859,469.99636194451
"601",way/175907671,way/175907671,,tertiary,,,"3",,,,,Большая Московская улица,"0","0","0","0","601",node/6724059946,30.901057377870686,node/246262,650.543050597427282,node/455876721,34.334507832592408,node/1319831809,1291.20622197458
"602",way/208252432,way/208252432,,primary,asphalt,,"2",,,,,Сырковское шоссе,"0","0","0","3","602",node/301129611,629.093827277786772,node/281000784,737.980663779653696,node/565333511,645.756188229009240,node/6340964470,762.986280853004
"603",way/38656203,way/38656203,,primary,asphalt,,"4",,,,,Нехинская улица,"0","0","0","0","603",node/6510641045,104.820253361409513,node/286749694,287.450886760324750,node/286533603,95.948760242565086,node/286749723,361.683119386374
"604",way/466004005,way/466004005,,secondary,asphalt,,"2",,,,,Юрьевское шоссе,"0","0","0","0","604",node/15500941,341.082484634468926,node/244045107,1321.521908326492621,node/4744460858,277.629253085268431,node/4744460853,992.091532846336
"605",way/219873732,way/219873732,,unclassified,,,"2",,,,,,"0","0","0","0","605",node/1946998795,583.766748901650089,node/1143738665,3798.071620939199420,node/5996483888,680.127205293747579,node/4744460853,2850.96061931369
"606",way/367701065,way/367701065,,secondary,asphalt,,,,,,,Драгунское шоссе,"0","0","0","0","606",node/4773038317,3925.151053739128201,node/7463852740,4495.251034101944242,node/2849847592,3942.524879229041744,node/1578386259,1383.2811365819
"607",way/178220347,way/178220347,,tertiary,,,"2",,,yes,,Михайлова улица,"0","0","0","2","607",node/4570994357,152.476676542746446,node/246262,504.695590243428171,node/455876719,151.593884309878035,node/1319831809,1260.52226933056
